1	7.36, 1.63, 6.87, 1.03, 0.24, 1.00
2	7.56, 2.38, 7.07, 1.10, 0.19, 0.89
3	7.62, 2.14, 7.13, 0.89, 0.21, 0.83
4	7.64, 2.45, 7.15, 0.83, 0.22, 0.77
5	7.79, 2.66, 7.31, 0.93, 0.19, 0.77
6	7.61, 2.34, 7.13, 0.97, 0.14, 0.75
7	7.34, 2.47, 6.85, 0.85, 0.12, 0.65
8	7.17, 2.09, 6.69, 0.60, 0.13, 0.51
9	7.32, 1.90, 6.83, 0.41, 0.13, 0.34
10	7.34, 1.98, 6.85, 0.28, 0.13, 0.19
11	7.15, 2.16, 6.66, 0.17, 0.14, 0.04
12	7.62, 2.49, 7.13, 0.09, 0.11, -0.13
13	7.70, 2.57, 7.21, 0.08, 0.11, -0.15
14	7.76, 2.77, 7.28, 0.10, 0.12, -0.13
15	7.77, 2.90, 7.28, 0.07, 0.16, -0.09
16	7.78, 2.72, 7.29, 0.06, 0.17, -0.04
17	7.61, 2.28, 7.12, 0.10, 0.17, 0.01
18	7.48, 2.35, 6.99, 0.22, 0.12, 0.05
19	7.30, 2.17, 6.82, -0.02, 0.06, 0.06
20	7.37, 2.35, 6.88, 0.06, 0.01, 0.06
21	7.45, 2.37, 6.96, 0.14, -0.05, 0.06
22	7.60, 2.65, 7.11, 0.18, -0.09, 0.04
23	7.66, 2.68, 7.17, 0.16, -0.08, 0.04
24	7.84, 2.82, 7.36, 0.20, -0.05, 0.06
25	7.79, 2.93, 7.30, 0.32, -0.03, 0.10
26	7.70, 3.17, 7.22, 0.41, -0.03, 0.13
27	7.48, 3.03, 6.99, 0.19, 0.03, 0.11
28	7.35, 3.07, 6.87, 0.13, 0.04, 0.09
29	7.29, 3.04, 6.80, 0.09, 0.03, 0.07
30	7.30, 2.62, 6.81, 0.05, 0.02, 0.04
31	7.48, 2.68, 6.99, 0.11, -0.01, 0.00
32	7.57, 2.86, 7.09, 0.18, -0.00, -0.02
33	7.54, 2.98, 7.05, 0.36, 0.01, -0.03
34	7.71, 3.25, 7.22, 0.43, -0.01, -0.03
35	7.71, 3.62, 7.22, 0.31, 0.02, -0.03
36	7.65, 3.45, 7.16, 0.01, 0.08, -0.04
37	7.50, 2.76, 7.01, -0.09, 0.10, -0.04
38	7.53, 3.11, 7.05, 0.03, 0.06, -0.03
39	7.45, 3.16, 6.96, 0.04, 0.04, -0.03
40	7.51, 3.37, 7.02, 0.02, 0.02, -0.02
41	7.43, 3.11, 6.94, -0.08, 0.01, -0.01
42	7.49, 2.81, 7.00, -0.07, -0.01, -0.01
43	7.58, 3.06, 7.10, -0.00, -0.02, -0.01
44	7.58, 3.19, 7.09, -0.01, -0.01, -0.01
45	7.54, 3.16, 7.06, -0.09, 0.01, -0.01
46	7.54, 3.11, 7.05, -0.14, 0.02, -0.02
47	7.48, 2.78, 7.00, -0.15, 0.02, -0.02
48	7.51, 2.99, 7.02, -0.00, -0.00, -0.01
49	7.56, 3.22, 7.07, 0.05, -0.02, -0.01
50	7.56, 3.06, 7.07, -0.07, 0.02, -0.00
51	7.53, 2.96, 7.04, -0.07, 0.03, -0.00
52	7.56, 2.97, 7.07, 0.01, 0.01, -0.00
53	7.58, 3.18, 7.10, 0.05, 0.01, 0.00
54	7.49, 3.14, 7.00, -0.11, 0.02, -0.01
55	7.47, 2.92, 6.98, -0.14, 0.02, -0.00
56	7.49, 2.83, 7.00, -0.08, 0.01, 0.01
57	7.51, 3.00, 7.02, -0.00, -0.00, 0.01
58	7.49, 2.98, 7.00, -0.01, 0.00, 0.01
59	7.46, 3.00, 6.98, -0.03, 0.00, 0.01
60	7.45, 3.02, 6.97, -0.05, -0.00, 0.01
61	7.50, 3.01, 7.02, -0.03, -0.01, 0.02
62	7.47, 3.09, 6.98, -0.00, -0.01, 0.02
63	7.43, 3.05, 6.94, -0.02, -0.01, 0.02
64	7.50, 2.89, 7.01, -0.03, -0.01, 0.02
65	7.54, 2.93, 7.05, -0.01, -0.02, 0.01
66	7.59, 2.98, 7.10, 0.00, -0.02, 0.00
67	7.61, 3.07, 7.13, -0.01, -0.01, 0.00
68	7.66, 2.95, 7.17, -0.05, -0.00, 0.00
69	7.61, 2.92, 7.13, -0.01, -0.01, 0.00
70	7.59, 3.05, 7.10, 0.01, -0.02, -0.00
71	7.56, 3.23, 7.07, -0.03, -0.01, -0.01
72	7.47, 3.14, 6.98, -0.11, 0.02, -0.02
73	7.37, 2.92, 6.89, -0.11, 0.04, -0.02
74	7.33, 2.90, 6.84, -0.02, 0.03, -0.02
75	7.47, 2.95, 6.98, 0.02, 0.01, -0.03
76	7.63, 2.95, 7.14, -0.03, 0.01, -0.04
77	7.69, 2.91, 7.20, -0.06, 0.01, -0.04
78	7.67, 2.92, 7.18, -0.02, 0.01, -0.03
79	7.57, 2.99, 7.08, 0.04, 0.00, -0.02
80	7.46, 3.04, 6.97, 0.03, 0.00, -0.01
81	7.42, 3.02, 6.93, -0.03, 0.01, -0.01
82	7.36, 2.97, 6.87, -0.07, 0.02, -0.03
83	7.42, 3.18, 6.94, 0.01, -0.02, -0.02
84	7.50, 3.21, 7.01, -0.00, -0.03, -0.01
85	7.47, 3.11, 6.98, -0.03, -0.03, -0.00
86	7.49, 3.07, 7.00, -0.05, -0.04, -0.00
87	7.45, 3.12, 6.96, -0.05, -0.06, -0.01
88	7.48, 3.04, 7.00, -0.06, -0.08, -0.01
89	7.51, 3.05, 7.03, -0.06, -0.09, -0.00
90	7.52, 3.09, 7.03, -0.06, -0.09, -0.00
1	4.05, 0.02, 3.56, -1.35, 1.73, -2.46
2	3.19, 1.66, 2.70, -0.51, 1.67, -2.30
3	3.23, 1.55, 2.74, 0.18, 1.55, -2.08
4	3.12, 2.93, 2.64, 0.75, 1.40, -1.96
5	2.97, 4.78, 2.48, 0.63, 1.30, -1.85
6	2.51, 4.20, 2.02, -0.06, 1.39, -1.76
7	2.19, 4.16, 1.70, -0.37, 1.39, -1.70
8	1.82, 4.71, 1.34, -0.34, 1.25, -1.50
9	1.62, 4.34, 1.14, -1.17, 1.20, -1.04
10	0.87, 2.27, 0.38, -1.37, 1.23, -0.89
11	0.60, 2.48, 0.11, -0.71, 0.97, -0.66
12	0.91, 2.51, 0.43, -0.02, 0.69, -0.38
13	0.84, 3.15, 0.35, 0.29, 0.50, -0.27
14	0.84, 3.67, 0.35, -0.13, 0.45, -0.27
15	0.59, 2.76, 0.10, -0.84, 0.53, -0.23
16	0.71, 2.12, 0.22, -1.13, 0.54, -0.13
17	0.62, 1.70, 0.13, -1.01, 0.51, -0.02
18	0.36, 1.64, -0.13, -0.77, 0.47, 0.10
19	0.26, 1.48, -0.23, -0.39, 0.30, 0.25
20	0.51, 1.02, 0.02, -0.45, 0.30, 0.23
21	0.26, 0.28, -0.23, -0.78, 0.33, 0.14
22	-0.05, -0.11, -0.54, -0.98, 0.35, 0.05
23	-0.50, -0.88, -0.99, -0.86, 0.24, -0.01
24	-0.58, -0.39, -1.06, 0.30, -0.05, 0.06
25	0.10, 0.88, -0.39, 1.44, -0.31, 0.18
26	0.61, 1.02, 0.12, 1.18, -0.29, 0.15
27	0.77, 1.84, 0.28, 0.59, -0.12, 0.06
28	0.83, 0.87, 0.34, -0.04, 0.09, 0.01
29	0.62, 1.14, 0.13, 0.00, 0.12, 0.00
30	0.56, 1.61, 0.07, 0.21, 0.05, -0.00
31	0.63, 1.46, 0.14, 0.23, -0.01, -0.00
32	0.55, 1.25, 0.06, 0.29, -0.06, -0.01
33	0.74, 1.72, 0.25, 0.40, -0.09, -0.04
34	0.79, 1.93, 0.30, 0.34, -0.08, -0.06
35	0.73, 1.92, 0.25, 0.23, -0.03, -0.07
36	0.67, 1.97, 0.19, 0.19, 0.00, -0.07
37	0.68, 1.74, 0.20, 0.10, 0.05, -0.08
38	0.58, 1.84, 0.09, 0.09, 0.08, -0.09
39	0.59, 1.85, 0.10, 0.08, 0.09, -0.10
40	0.54, 1.95, 0.06, 0.10, 0.10, -0.10
41	0.57, 1.96, 0.08, 0.13, 0.09, -0.08
42	0.50, 1.95, 0.01, 0.10, 0.07, -0.08
43	0.49, 2.16, 0.00, 0.09, 0.05, -0.06
44	0.37, 2.10, -0.12, 0.08, 0.03, -0.04
45	0.34, 2.18, -0.15, 0.15, 0.01, -0.03
46	0.35, 2.18, -0.13, 0.14, 0.00, -0.02
47	0.45, 2.09, -0.04, 0.06, 0.01, -0.03
48	0.51, 2.11, 0.03, 0.05, 0.02, -0.03
49	0.43, 2.23, -0.06, 0.08, 0.02, -0.02
50	0.42, 2.30, -0.07, 0.09, 0.02, -0.01
51	0.43, 2.31, -0.06, 0.08, 0.00, 0.01
52	0.44, 2.19, -0.05, 0.06, -0.01, 0.01
